,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2023-07-25,Atlanta,0.653,0.667,1.000,0.628,0.681,0.615
1,2023-07-25,Baltimore,0.620,1.000,1.000,0.600,0.640,0.512
2,2023-07-25,Tampa Bay,0.592,0.333,0.000,0.667,0.510,0.524
3,2023-07-25,Texas,0.584,0.333,0.000,0.630,0.532,0.420
4,2023-07-25,LA Dodgers,0.576,0.333,0.000,0.630,0.528,0.675
5,2023-07-25,Houston,0.564,0.667,1.000,0.542,0.585,0.669
6,2023-07-25,Milwaukee,0.555,0.667,1.000,0.549,0.560,0.531
7,2023-07-25,Toronto,0.555,0.667,1.000,0.575,0.537,0.561
8,2023-07-25,Cincinnati,0.539,0.667,0.000,0.519,0.563,0.383
9,2023-07-25,SF Giants,0.535,0.000,0.000,0.542,0.528,0.500
10,2023-07-25,Arizona,0.535,0.000,0.000,0.510,0.560,0.457
11,2023-07-25,Miami,0.535,0.333,1.000,0.608,0.460,0.426
12,2023-07-25,Philadelphia,0.530,0.333,0.000,0.565,0.500,0.548
13,2023-07-25,NY Yankees,0.530,1.000,1.000,0.574,0.478,0.597
14,2023-07-25,Boston,0.530,0.667,1.000,0.549,0.510,0.482
15,2023-07-25,Minnesota,0.529,1.000,1.000,0.577,0.480,0.482
16,2023-07-25,LA Angels,0.510,0.667,1.000,0.558,0.458,0.451
17,2023-07-25,Seattle,0.500,0.333,0.000,0.537,0.457,0.551
18,2023-07-25,Cleveland,0.490,0.333,0.000,0.520,0.460,0.568
19,2023-07-25,Chi Cubs,0.485,1.000,1.000,0.509,0.457,0.457
20,2023-07-25,San Diego,0.475,0.333,0.000,0.489,0.463,0.546
21,2023-07-25,NY Mets,0.465,0.333,0.000,0.511,0.426,0.618
22,2023-07-25,Detroit,0.460,0.667,1.000,0.449,0.471,0.407
23,2023-07-25,St. Louis,0.446,0.333,1.000,0.457,0.436,0.567
24,2023-07-25,Pittsburgh,0.440,0.667,1.000,0.469,0.412,0.383
25,2023-07-25,Washington,0.410,0.667,0.000,0.353,0.469,0.340
26,2023-07-25,Chi Sox,0.406,0.000,0.000,0.457,0.364,0.500
27,2023-07-25,Colorado,0.400,0.667,1.000,0.469,0.333,0.420
28,2023-07-25,Kansas City,0.284,0.333,1.000,0.294,0.275,0.401
29,2023-07-25,Oakland,0.275,0.333,0.000,0.278,0.271,0.370
