 
Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Atlanta Braves,55,27,.671,W 7,5.7,4.0,1.7,-0.2,1.5,54-28,1,21-6,8-1,10-7,16-13,29-15,26-12,4-1,15-9,42-22,13-5,28-16,27-11,9-1,17-3,24-6
2,Tampa Bay Rays,57,29,.663,L 1,5.6,3.8,1.8,-0.1,1.7,58-28,-1,17-10,14-3,9-6,17-10,34-10,23-19,2-1,14-14,45-25,12-4,31-17,26-12,6-4,10-10,18-12
3,Texas Rangers,50,33,.602,W 1,5.9,4.0,1.9,-0.2,1.7,56-27,-6,10-9,11-5,16-9,13-10,27-16,23-17,2-3,5-11,35-24,15-9,21-21,29-12,5-5,9-11,16-14
4,Arizona Diamondbacks,50,34,.595,W 2,5.1,4.6,0.5,-0.1,0.3,46-38,4,11-11,8-4,17-11,14-8,24-20,26-14,0-3,11-12,36-23,14-11,24-23,26-11,6-4,11-9,19-11
5,Baltimore Orioles,48,33,.593,L 4,4.8,4.6,0.2,0.0,0.3,42-39,6,14-9,14-7,10-7,10-10,25-18,23-15,4-5,13-9,30-23,18-10,24-23,24-10,4-6,11-9,15-15
6,Miami Marlins,48,36,.571,L 2,4.0,4.3,-0.2,-0.1,-0.3,40-44,8,11-14,8-5,9-10,20-7,25-16,23-20,4-1,19-5,39-26,9-10,20-19,28-17,6-4,13-7,20-10
7,Los Angeles Dodgers,46,36,.561,L 1,5.5,4.7,0.8,0.0,0.9,47-35,-1,9-6,12-11,14-11,11-8,24-15,22-21,3-2,9-10,36-22,10-14,22-21,24-15,7-3,11-9,15-15
8,San Francisco Giants,46,37,.554,L 1,4.8,4.3,0.5,-0.1,0.4,46-37,0,10-8,13-7,13-9,10-13,23-19,23-18,4-2,10-9,34-30,12-7,25-19,21-18,5-5,14-6,19-11
9,New York Yankees,46,37,.554,W 1,4.5,4.0,0.4,0.2,0.7,45-38,1,11-15,8-8,14-8,13-6,25-19,21-18,5-6,11-14,37-32,9-5,28-27,18-10,6-4,10-10,16-14
10,Houston Astros,45,38,.542,L 1,4.6,4.0,0.7,0.0,0.7,47-36,-2,5-5,8-11,14-7,18-15,22-19,23-19,1-6,8-10,33-29,12-9,21-25,24-13,6-4,9-11,14-16
11,Philadelphia Phillies,44,38,.537,W 1,4.5,4.5,0.1,0.0,0.1,42-40,2,8-12,9-4,11-12,16-10,22-15,22-23,4-2,17-8,28-26,16-12,19-27,25-11,6-4,14-6,19-11
12,Toronto Blue Jays,45,39,.536,L 2,4.5,4.2,0.2,0.2,0.4,44-40,1,7-19,11-5,11-8,16-7,23-17,22-22,4-5,13-8,38-32,7-7,26-33,19-6,6-4,9-11,17-13
13,Milwaukee Brewers,44,39,.530,W 1,4.1,4.3,-0.2,-0.1,-0.3,39-44,5,6-1,12-6,8-15,18-17,22-18,22-21,5-1,14-5,34-24,10-15,17-23,27-16,6-4,10-10,16-14
14,Cincinnati Reds,44,39,.530,L 1,5.0,5.2,-0.3,0.0,-0.3,40-43,4,8-11,11-12,8-6,17-10,22-21,22-18,6-3,17-15,29-28,15-11,20-21,24-18,6-4,15-5,20-10
15,Los Angeles Angels,44,41,.518,L 4,4.9,4.6,0.4,-0.2,0.2,45-40,-1,8-9,11-8,15-12,10-12,22-20,22-21,2-4,13-11,36-26,8-15,17-27,27-14,3-7,9-11,15-15
16,Minnesota Twins,42,42,.500,W 2,4.2,3.8,0.4,0.0,0.4,46-38,-4,12-13,15-12,5-4,10-13,23-19,19-23,8-3,9-14,34-33,8-9,22-26,20-16,6-4,10-10,14-16
17,Boston Red Sox,42,42,.500,W 2,4.9,4.7,0.1,0.2,0.3,43-41,-1,15-11,11-8,5-5,11-18,21-21,21-21,3-3,11-14,28-32,14-10,30-27,12-15,3-7,10-10,14-16
18,Cleveland Guardians,40,42,.488,W 1,4.0,4.1,-0.1,-0.3,-0.4,40-42,0,7-8,10-12,13-6,10-16,20-19,20-23,6-6,16-19,26-26,14-16,18-19,22-23,6-4,11-9,17-13
19,Seattle Mariners,39,42,.481,W 1,4.5,4.3,0.2,-0.1,0.1,42-39,-3,6-11,7-6,12-10,14-15,23-20,16-22,4-8,8-15,28-32,11-10,15-29,24-13,4-6,9-11,13-17
20,Pittsburgh Pirates,39,43,.476,L 1,4.3,4.7,-0.4,-0.1,-0.5,38-44,1,5-5,11-14,12-6,11-18,22-20,17-23,1-3,12-8,26-32,13-11,18-25,21-18,5-5,6-14,13-17
21,Chicago Cubs,38,43,.469,L 1,4.6,4.2,0.3,0.1,0.4,43-38,-5,6-13,10-9,9-8,13-13,21-21,17-22,1-1,7-11,25-32,13-11,17-31,21-12,5-5,12-8,16-14
22,San Diego Padres,38,45,.458,W 1,4.3,4.1,0.3,0.1,0.3,44-39,-6,10-9,7-12,12-13,9-11,20-22,18-23,0-7,5-14,23-31,15-14,23-26,15-19,3-7,8-12,14-16
23,New York Mets,37,46,.446,W 1,4.4,4.6,-0.2,-0.1,-0.3,40-43,-3,13-13,5-14,9-9,10-10,19-19,18-27,4-1,12-16,28-27,9-19,21-28,16-18,3-7,7-13,10-20
24,Detroit Tigers,36,46,.439,W 1,3.8,4.8,-1.0,0.1,-0.9,32-50,4,2-14,15-11,6-7,13-14,18-21,18-25,8-4,12-9,29-34,7-12,16-31,20-15,5-5,10-10,11-19
25,Chicago White Sox,36,49,.424,L 2,4.2,4.9,-0.7,0.1,-0.6,37-48,-1,6-13,15-11,8-14,7-11,20-20,16-29,4-6,12-13,27-36,9-13,22-35,14-14,4-6,7-13,14-16
26,St. Louis Cardinals,34,48,.415,L 1,4.6,5.0,-0.3,0.1,-0.3,38-44,-4,4-5,11-14,7-13,12-16,16-25,18-23,2-4,8-16,25-37,9-11,19-31,15-17,5-5,9-11,11-19
27,Washington Nationals,33,49,.402,L 1,4.1,5.1,-0.9,0.1,-0.8,33-49,0,8-16,5-5,9-13,11-15,13-27,20-22,2-0,9-14,24-28,9-21,12-31,21-18,6-4,8-12,10-20
